genero,plataforma,idioma,dia_lanzamiento,anno_lanzamiento,duracion_seg,tempo_bpm,energia,valencia,bailabilidad,instrumentalidad,loudness_db,popularidad_artista,num_colaboraciones,semanas_en_charts,reproducciones_millones,gastos_produccion_usd,sello_discografico,streams_categoria
Reggaeton,Deezer,Ingles,Jueves,2015,166,126,0.809,0.745,0.908,0.066,-4.8,25,1,48,1.2,225597.0,Sony,2
Rock,Spotify,Ingles,Lunes,2017,169,137,0.91,0.506,0.389,0.183,-8.4,14,0,13,13.39,,Universal,0
Cumbia,YouTube Music,Espanol,Jueves,2024,165,126,0.322,0.386,0.678,0.208,-4.4,66,3,25,2.14,332587.0,,0
Rock,Spotify,Ingles,Martes,2010,150,113,0.359,0.443,0.7,0.116,-7.7,65,0,10,4.41,379675.0,Independiente,0
Hip-Hop,Tidal,Espanol,Viernes,2020,124,111,0.733,0.412,0.747,0.018,-11.4,72,3,35,9.8,304379.0,Warner,2
R&B,Spotify,Ingles,Lunes,2020,155,117,0.705,0.397,0.72,0.002,-5.5,26,0,18,9.74,266734.0,Warner,0
R&B,YouTube Music,Frances,Jueves,2016,215,126,0.527,0.579,0.744,0.258,-8.2,67,0,33,3.63,,Warner,1
Pop,YouTube Music,Ingles,Martes,2012,218,75,0.947,0.858,0.703,0.048,<null>,26,0,5,2.74,301100.0,Warner,0
Clasica,Spotify,Ingles,Miercoles,2019,196,126,0.446,0.411,0.605,0.265,-9.7,59,1,35,3.79,148856.0,Universal,2
Hip-Hop,Deezer,Coreano,Martes,2021,196,135,0.611,0.815,0.793,0.035,-9.7,100,0,32,14.52,422030.0,Warner,3
Reggaeton,Tidal,Ingles,Viernes,2015,212,113,0.223,0.784,0.667,0.217,-5.8,52,0,25,10.58,441433.0,Independiente,0
Pop,Spotify,Portugues,Martes,2024,183,104,0.632,0.602,0.501,0.115,-5.0,79,0,22,10.06,313163.0,Sony,2
Pop,Spotify,Ingles,Domingo,2011,180,100,0.554,0.74,0.99,<null>,-3.0,19,0,2,7.4,17843.0,Independiente,0
Jazz,Spotify,Coreano,Martes,2015,220,78,0.504,0.317,0.88,<null>,-15.1,58,0,41,0.03,95109.0,Independiente,1
Reggaeton,Spotify,Portugues,Domingo,2014,254,118,0.196,0.846,0.753,0.176,-13.9,95,2,17,5.22,92666.0,Independiente,1
Hip-Hop,Tidal,Ingles,Domingo,2016,175,123,0.715,0.377,0.5,0.192,-6.1,8,0,6,8.57,253653.0,Warner,0
Jazz,Deezer,Ingles,Lunes,2018,213,134,0.862,0.446,0.846,0.229,-1.4,93,1,38,1.84,336097.0,Universal,3
Metal,Spotify,Ingles,Viernes,2017,171,168,0.378,0.409,0.769,0.01,<null>,65,1,31,9.0,141337.0,Sony,2
Pop,Apple Music,Ingles,Jueves,2024,227,119,0.678,0.363,0.613,0.005,-5.1,4,0,7,0.09,110456.0,,0
Electronica,Apple Music,Ingles,Domingo,2018,310,139,0.802,0.416,0.847,0.202,<null>,31,0,7,10.78,485731.0,Sony,1
Pop,Spotify,Espanol,Domingo,2015,233,85,0.908,0.626,0.593,0.167,-3.4,10,1,50,2.0,,Warner,1
Metal,Spotify,Ingles,Viernes,2016,225,108,0.88,0.659,0.778,0.602,-6.6,38,2,27,0.99,38375.0,Sony,1
Electronica,Spotify,Ingles,Miercoles,2017,227,138,0.346,0.816,0.768,0.33,-9.9,83,0,14,9.62,131624.0,,1
Cumbia,Apple Music,Portugues,Sabado,2010,215,120,0.745,0.585,0.698,<null>,-5.0,1,2,8,4.97,245887.0,Independiente,0
Pop,YouTube Music,Portugues,Domingo,2015,198,140,0.831,0.661,0.334,0.292,-6.4,57,1,19,3.43,387809.0,Universal,1
Pop,YouTube Music,Espanol,Domingo,2011,157,139,0.689,0.3,0.716,0.344,-0.7,87,0,25,5.2,55557.0,Universal,2
Rock,Spotify,Espanol,Viernes,2021,210,152,0.516,0.414,0.899,0.036,0.5,68,0,5,14.98,51935.0,Sony,2
Rock,YouTube Music,Espanol,Lunes,2019,206,132,0.554,0.507,0.515,0.005,-8.9,50,0,0,11.28,493731.0,Independiente,0
Rock,YouTube Music,Espanol,Jueves,2017,204,115,0.233,0.43,0.666,0.076,-2.8,100,0,23,11.54,447205.0,Universal,1
Cumbia,Tidal,Espanol,Viernes,2011,219,135,0.437,0.72,0.9,0.099,-0.5,27,2,21,6.56,335556.0,Universal,0
Rock,Apple Music,Portugues,Sabado,2020,232,98,0.447,0.712,0.672,0.282,-8.9,42,0,48,20.98,487659.0,Sony,3
Rock,Tidal,Frances,Domingo,2023,226,160,0.476,0.065,0.931,0.042,-5.7,4,2,13,1.89,224805.0,Sony,0
Metal,Tidal,Ingles,Jueves,2012,199,108,0.643,0.474,0.451,0.173,-2.9,98,1,38,8.79,167267.0,Sony,2
Hip-Hop,Apple Music,Ingles,Domingo,2018,226,117,0.781,0.734,0.623,0.172,-6.2,71,0,40,9.93,217282.0,Sony,3
Metal,Spotify,Ingles,Lunes,2021,178,124,0.775,0.433,0.477,0.005,-8.8,80,0,27,6.58,204659.0,Sony,3
Pop,Deezer,Coreano,Domingo,2011,145,131,0.129,0.779,0.724,0.516,-6.0,34,2,42,5.42,42431.0,Sony,0
Reggaeton,YouTube Music,Frances,Domingo,2021,189,142,0.32,0.841,0.485,0.068,-5.7,53,0,11,3.56,357117.0,Sony,0
Pop,Tidal,Espanol,Martes,2011,210,102,0.376,0.135,0.854,0.057,<null>,17,0,20,7.42,298008.0,Sony,0
Pop,YouTube Music,Espanol,Domingo,2012,141,94,0.639,0.462,0.787,0.153,-4.7,79,0,48,4.17,290067.0,Warner,2
Cumbia,YouTube Music,Espanol,Sabado,2016,213,101,0.222,0.465,0.536,<null>,-11.4,36,0,9,18.9,45734.0,Universal,0
Pop,Spotify,Ingles,Miercoles,2017,217,121,0.35,0.588,0.387,<null>,-11.7,15,1,30,3.59,52209.0,Universal,0
Reggaeton,Spotify,Ingles,Viernes,2017,242,131,0.605,0.296,0.404,0.228,-7.2,26,2,0,5.63,414471.0,Independiente,0
Hip-Hop,Deezer,Espanol,Jueves,2011,224,130,0.325,0.911,0.949,0.006,-11.2,20,0,42,15.4,356972.0,Warner,2
Rock,Spotify,Frances,Viernes,2019,157,124,0.899,0.749,0.217,0.057,-1.7,88,1,40,4.81,466223.0,Sony,2
R&B,Spotify,Ingles,Domingo,2011,222,124,0.512,0.669,0.234,0.132,-7.2,0,0,7,3.07,474046.0,Independiente,0
Pop,YouTube Music,Coreano,Lunes,2011,211,139,0.48,0.201,0.339,0.237,-4.1,18,1,15,4.74,309038.0,Sony,0
Electronica,YouTube Music,Espanol,Martes,2018,226,135,0.749,0.179,0.847,0.232,-11.6,38,1,0,12.65,332839.0,,2
Cumbia,Spotify,Espanol,Lunes,2023,252,89,0.367,0.256,0.613,0.094,0.5,36,0,50,3.52,397462.0,Sony,1
Reggaeton,Spotify,Espanol,Sabado,2021,181,127,0.474,0.681,0.694,0.018,-3.6,52,0,19,5.92,256640.0,Warner,0
Cumbia,Apple Music,Espanol,Domingo,2010,198,130,0.68,0.126,0.665,<null>,-4.2,0,1,25,7.22,241232.0,Independiente,0
Pop,Spotify,Portugues,Domingo,2010,209,103,0.851,0.322,0.584,0.337,-15.2,6,0,35,1.02,,Independiente,1
Hip-Hop,YouTube Music,Espanol,Jueves,2015,191,134,0.428,0.226,0.596,0.334,-10.7,23,2,25,9.38,102054.0,,1
Rock,Spotify,Ingles,Viernes,2022,132,116,0.927,0.73,0.459,0.062,-6.8,26,0,45,12.84,21602.0,Warner,2
Metal,Tidal,Espanol,Domingo,2017,244,132,0.538,0.23,0.507,0.327,-13.0,81,2,31,1.93,317249.0,Independiente,0
Cumbia,YouTube Music,Espanol,Jueves,2021,125,92,0.598,0.805,0.219,0.334,-16.7,62,0,11,13.15,400874.0,Universal,1
Rock,YouTube Music,Portugues,Domingo,2020,221,96,0.991,0.254,0.764,0.204,-4.9,76,0,2,4.31,433901.0,Warner,1
Electronica,Spotify,Coreano,Sabado,2016,158,138,0.665,0.196,0.917,0.192,-7.8,55,2,41,11.75,208342.0,Sony,3
Pop,Apple Music,Ingles,Sabado,2010,169,134,0.777,0.604,0.716,0.34,-8.7,40,0,5,13.39,144874.0,Sony,0
Reggaeton,Apple Music,Coreano,Domingo,2019,234,76,0.849,0.438,0.391,0.069,-6.1,6,1,9,6.03,446624.0,Warner,0
Hip-Hop,Spotify,Ingles,Lunes,2018,259,114,0.355,0.365,0.678,0.03,-7.7,1,1,30,2.04,154288.0,Universal,0
Cumbia,YouTube Music,Ingles,Viernes,2024,222,69,0.683,0.475,0.836,0.052,-4.8,74,0,5,2.68,342422.0,Universal,1
Electronica,Apple Music,Portugues,Jueves,2022,199,157,0.403,0.098,0.295,0.13,-11.7,72,3,14,7.98,293640.0,Independiente,0
Rock,YouTube Music,Espanol,Viernes,2020,203,107,0.853,0.209,0.689,0.347,0.8,91,2,50,20.07,67968.0,Sony,3
Pop,Spotify,Espanol,Miercoles,2014,260,112,0.799,0.208,0.535,0.127,-14.5,99,1,31,1.31,321886.0,Sony,2
Pop,Spotify,Ingles,Lunes,2021,257,103,0.696,0.33,0.358,0.018,-4.5,96,1,7,10.89,109929.0,Warner,3
Rock,Deezer,Ingles,Lunes,2020,230,111,0.757,0.197,0.344,0.129,-8.9,70,0,21,23.57,484139.0,Universal,1
Rock,Apple Music,Espanol,Miercoles,2022,257,106,0.674,0.589,0.681,0.087,-2.9,45,1,27,4.11,50549.0,Sony,1
R&B,Apple Music,Espanol,Martes,2011,191,141,0.894,0.394,0.498,0.034,-9.8,52,1,3,8.89,492284.0,Sony,0
Reggaeton,Apple Music,Portugues,Sabado,2016,237,114,0.121,0.368,0.823,0.002,-17.2,27,1,5,3.55,35809.0,Sony,0
Reggaeton,Spotify,Ingles,Jueves,2021,158,106,0.353,0.446,0.34,0.089,-6.5,70,1,15,4.37,227191.0,Sony,0
Pop,YouTube Music,Ingles,Domingo,2024,189,126,0.639,0.703,0.399,0.061,0.4,45,0,17,24.79,,Sony,3
R&B,Spotify,Frances,Martes,2018,194,79,0.625,0.8,0.478,0.109,-10.9,29,1,21,0.07,115771.0,Universal,0
Jazz,Apple Music,Ingles,Viernes,2022,256,105,0.63,0.353,0.807,0.544,-4.8,83,1,30,11.91,,Warner,2
Pop,Apple Music,Ingles,Jueves,2013,201,113,0.798,0.339,0.777,0.154,-11.5,17,0,8,9.41,97344.0,Universal,1
Jazz,Tidal,Frances,Domingo,2021,248,95,0.829,0.747,0.525,0.039,-2.7,51,1,35,7.86,402551.0,Universal,2
Reggaeton,Apple Music,Portugues,Domingo,2013,187,128,0.574,0.302,0.69,0.048,-1.8,17,0,20,2.73,236427.0,Warner,0
Pop,Spotify,Ingles,Jueves,2017,239,116,0.73,0.393,0.585,0.468,-5.8,57,0,19,2.8,108652.0,Universal,1
Hip-Hop,Apple Music,Ingles,Sabado,2016,231,129,0.759,0.803,0.689,0.201,-3.7,100,0,46,2.96,218311.0,Universal,1
Reggaeton,Spotify,Ingles,Jueves,2024,121,128,0.62,0.652,0.77,0.066,<null>,46,0,9,9.85,240342.0,Sony,2
Pop,Spotify,Ingles,Miercoles,2019,250,146,0.402,0.625,0.347,0.055,-10.5,23,0,45,10.42,304657.0,Universal,1
Cumbia,Spotify,Espanol,Domingo,2016,188,98,0.359,0.811,0.873,0.194,-3.7,76,1,25,0.87,137033.0,Universal,1
R&B,Apple Music,Ingles,Lunes,2010,160,137,0.756,0.956,0.804,0.393,-3.1,100,0,48,19.24,224997.0,Universal,3
Electronica,Spotify,Espanol,Miercoles,2023,174,107,0.882,0.623,0.788,0.16,-1.8,36,1,17,4.38,377601.0,Universal,2
Hip-Hop,Apple Music,Espanol,Miercoles,2024,187,120,0.492,0.34,0.721,0.173,0.9,75,0,35,1.14,75178.0,Universal,0
Hip-Hop,Deezer,Ingles,Domingo,2024,176,127,0.417,0.144,0.799,0.104,-9.2,35,1,41,2.44,242316.0,Universal,1
Electronica,YouTube Music,Frances,Miercoles,2016,174,139,0.278,0.109,0.195,0.168,-10.9,30,1,48,4.66,26596.0,Sony,0
Reggaeton,Spotify,Espanol,Martes,2023,200,119,0.758,0.432,0.235,0.028,<null>,1,2,3,2.41,296142.0,Warner,0
Pop,Spotify,Espanol,Miercoles,2015,227,136,0.746,0.616,0.717,0.209,-8.4,13,2,40,1.84,314087.0,Sony,1
Reggaeton,YouTube Music,Ingles,Lunes,2016,256,147,0.417,0.585,0.36,0.04,-13.6,77,3,7,4.98,400094.0,Warner,0
Clasica,Tidal,Ingles,Jueves,2023,274,110,0.869,0.339,0.845,0.034,-7.1,43,1,16,6.86,159007.0,,2
Hip-Hop,Spotify,Espanol,Martes,2020,298,112,0.273,0.661,0.807,0.459,-1.3,77,0,26,1.96,100566.0,Independiente,2
Pop,YouTube Music,Espanol,Domingo,2022,222,101,0.583,0.695,0.383,0.099,-10.8,100,0,50,6.81,421357.0,Sony,2
Metal,Apple Music,Ingles,Sabado,2024,204,107,0.443,0.602,0.885,0.094,-9.7,75,0,31,3.28,194086.0,Universal,0
Rock,Apple Music,Portugues,Miercoles,2021,238,122,0.809,0.386,0.778,0.176,-10.4,98,0,14,3.4,337603.0,Sony,2
Rock,Deezer,Espanol,Miercoles,2022,164,115,0.789,0.709,0.691,0.039,0.4,57,2,44,3.34,194010.0,Independiente,2
Pop,YouTube Music,Espanol,Jueves,2018,200,114,0.532,0.417,0.667,0.07,-2.1,97,0,25,18.29,245114.0,Warner,3
Rock,Tidal,Ingles,Jueves,2015,225,124,0.79,0.248,0.523,0.338,-11.5,29,0,38,3.91,,Warner,1
Metal,Spotify,Espanol,Sabado,2017,172,113,0.223,0.436,0.627,0.298,-10.6,43,1,21,0.51,78901.0,Sony,0
Reggaeton,Apple Music,Espanol,Martes,2013,249,89,0.364,0.517,0.819,0.157,-8.7,82,0,35,4.49,233145.0,Warner,2
Rock,YouTube Music,Ingles,Sabado,2011,228,100,0.504,0.411,0.449,0.022,-4.9,84,0,22,0.29,464520.0,Warner,1
R&B,Spotify,Coreano,Sabado,2023,195,125,0.916,0.23,0.734,0.045,-5.6,84,0,14,1.19,134867.0,Independiente,1
R&B,Apple Music,Espanol,Lunes,2020,226,123,0.506,0.24,0.756,0.563,-0.9,81,0,2,13.08,357935.0,Universal,1
R&B,Spotify,Ingles,Martes,2020,201,101,0.31,0.21,0.687,0.036,-7.1,94,1,9,0.56,,Independiente,0
Rock,Spotify,Ingles,Jueves,2011,140,105,0.934,0.579,0.284,0.347,-9.1,23,0,21,0.82,480967.0,Warner,0
Hip-Hop,Spotify,Frances,Lunes,2011,253,104,0.45,0.082,0.6,<null>,-6.6,21,1,39,1.77,232928.0,Independiente,0
Cumbia,YouTube Music,Espanol,Domingo,2011,207,111,0.49,0.652,0.676,0.034,-6.7,3,2,42,19.45,431262.0,Independiente,1
Metal,Tidal,Ingles,Miercoles,2019,221,135,0.371,0.264,0.813,0.095,-5.7,30,0,33,3.85,492616.0,Universal,0
Pop,Apple Music,Portugues,Sabado,2010,236,149,0.485,0.231,0.503,0.221,-1.2,34,1,0,8.13,357673.0,Sony,0
Pop,YouTube Music,Coreano,Miercoles,2024,137,122,0.47,0.302,0.469,0.126,-10.3,23,0,50,1.0,304160.0,Warner,0
Hip-Hop,Spotify,Ingles,Viernes,2017,204,148,0.895,0.705,0.809,0.288,-13.1,98,2,11,12.08,330157.0,Sony,3
Cumbia,Tidal,Ingles,Jueves,2012,181,110,0.849,0.268,0.668,0.066,-6.8,24,0,51,7.72,22751.0,Independiente,1
Reggaeton,Apple Music,Ingles,Viernes,2011,265,125,0.799,0.181,0.866,0.292,-5.8,54,0,43,1.75,277954.0,Independiente,1
Reggaeton,YouTube Music,Ingles,Martes,2012,208,113,0.313,0.555,0.532,0.157,-7.4,53,0,14,9.64,265734.0,,0
Pop,YouTube Music,Ingles,Martes,2020,204,131,0.697,0.656,0.879,0.026,-3.9,36,2,35,0.05,78608.0,Independiente,1
Electronica,Spotify,Ingles,Sabado,2014,193,135,0.752,0.396,0.658,0.061,-7.1,68,0,15,19.91,331784.0,Independiente,3
Clasica,Apple Music,Portugues,Lunes,2021,272,106,0.656,0.706,0.52,0.193,-8.9,48,0,15,5.63,87943.0,,0
Hip-Hop,Deezer,Ingles,Sabado,2017,181,139,0.522,0.791,0.274,0.004,-3.0,84,0,10,3.81,262740.0,Universal,0
Metal,Spotify,Ingles,Jueves,2015,169,107,0.48,0.473,0.696,<null>,-4.1,77,0,44,27.88,141355.0,Warner,3
Cumbia,YouTube Music,Frances,Lunes,2020,177,95,0.675,0.418,0.473,0.492,-12.0,52,2,47,7.82,380239.0,Independiente,2
Rock,Deezer,Coreano,Lunes,2016,184,139,0.861,0.448,0.826,0.129,-3.4,34,0,38,11.43,224138.0,Warner,2
Reggaeton,Spotify,Ingles,Domingo,2020,208,124,0.734,0.592,0.889,0.202,-9.5,78,0,4,18.9,119140.0,,3
Rock,Tidal,Ingles,Domingo,2010,237,121,0.301,0.116,0.754,0.249,-3.9,43,0,11,3.46,282652.0,Universal,0
Clasica,Deezer,Ingles,Martes,2024,177,124,0.603,0.364,0.821,0.043,-13.8,12,2,39,7.27,355524.0,Universal,0
Reggaeton,YouTube Music,Espanol,Martes,2015,269,111,0.283,0.194,0.576,0.124,-3.0,72,0,11,0.61,12410.0,Universal,0
Electronica,Spotify,Espanol,Sabado,2020,222,130,0.873,0.272,0.39,0.188,-8.5,44,1,17,27.88,101109.0,Independiente,3
Clasica,Spotify,Ingles,Jueves,2013,152,92,0.847,0.291,0.397,0.077,-4.0,25,1,0,3.41,,Warner,0
Hip-Hop,Spotify,Espanol,Martes,2014,133,156,0.636,0.665,0.591,0.114,-3.8,25,0,2,0.61,398075.0,Warner,0
Cumbia,YouTube Music,Ingles,Jueves,2016,210,100,0.614,0.771,0.676,0.144,-5.9,60,1,20,12.54,479912.0,Sony,2
Reggaeton,YouTube Music,Ingles,Viernes,2013,183,95,0.508,0.09,0.254,0.128,-11.3,58,2,37,2.39,346276.0,Independiente,1
Pop,YouTube Music,Ingles,Sabado,2016,174,130,0.726,0.286,0.632,0.056,-14.2,57,0,6,36.94,117251.0,Warner,3
Jazz,Spotify,Espanol,Miercoles,2014,185,99,0.497,0.597,0.81,0.116,-8.0,48,0,36,16.01,270513.0,Warner,2
Clasica,Spotify,Espanol,Sabado,2019,185,136,0.433,0.914,0.642,0.165,-12.5,49,3,34,0.78,85048.0,,0
Rock,YouTube Music,Espanol,Viernes,2024,219,132,0.56,0.507,0.836,0.172,-9.9,59,3,8,2.83,266270.0,Universal,0
R&B,YouTube Music,Espanol,Domingo,2010,228,95,0.762,0.266,0.767,0.226,-6.3,90,0,7,1.29,154858.0,Warner,1
Cumbia,Tidal,Coreano,Domingo,2017,206,115,0.783,0.798,0.3,<null>,-9.1,90,0,22,1.87,110861.0,Sony,0
Rock,YouTube Music,Espanol,Martes,2018,218,148,0.773,0.336,0.467,0.201,-3.2,60,0,4,7.39,440854.0,Universal,0
Cumbia,YouTube Music,Espanol,Miercoles,2020,170,108,0.676,0.595,0.645,0.071,-8.1,37,3,6,1.24,171316.0,Sony,0
Pop,YouTube Music,Espanol,Miercoles,2021,196,103,0.362,0.48,0.151,0.226,-7.6,31,0,11,2.06,,Universal,0
Rock,YouTube Music,Ingles,Sabado,2010,217,115,0.452,0.181,0.852,0.288,-5.1,8,0,15,9.05,,Universal,0
Pop,Apple Music,Ingles,Sabado,2014,210,128,0.857,0.585,0.652,0.177,-8.9,52,1,17,1.36,405376.0,Sony,1
R&B,Tidal,Espanol,Lunes,2017,240,108,0.686,0.854,0.52,0.137,-7.5,72,0,2,10.23,156054.0,Independiente,0
Electronica,YouTube Music,Frances,Miercoles,2024,212,102,0.776,0.265,0.67,0.15,-3.4,96,1,12,5.68,420447.0,Universal,2
Pop,Spotify,Portugues,Jueves,2018,128,131,0.569,0.785,0.694,0.439,-12.4,29,1,41,14.32,486307.0,Warner,2
Hip-Hop,Spotify,Espanol,Martes,2024,186,156,0.855,0.269,0.757,0.415,-0.3,0,0,0,5.46,249457.0,Universal,0
Electronica,Spotify,Ingles,Domingo,2011,273,117,0.273,0.839,0.305,0.316,-0.4,12,2,43,17.28,239933.0,Universal,1
Pop,Apple Music,Ingles,Martes,2014,185,106,0.461,0.277,0.558,0.238,-2.4,60,1,34,1.39,311060.0,Sony,1
R&B,Spotify,Espanol,Lunes,2018,201,112,0.7,0.341,0.852,0.171,-5.7,44,2,16,3.98,,Sony,0
Clasica,Spotify,Portugues,Sabado,2022,124,87,0.451,0.31,0.812,0.193,-7.7,39,2,14,4.21,,Universal,0
Reggaeton,Apple Music,Espanol,Sabado,2019,167,117,0.918,0.118,0.603,0.082,<null>,18,1,19,2.76,384043.0,Independiente,0
Cumbia,Spotify,Ingles,Lunes,2014,181,128,0.47,0.361,0.583,0.218,-9.8,73,0,43,22.59,458982.0,Sony,3
Hip-Hop,YouTube Music,Ingles,Martes,2010,286,105,0.408,0.528,0.411,0.123,-5.8,30,0,33,6.78,130400.0,Independiente,0
Cumbia,Apple Music,Ingles,Lunes,2024,209,85,0.42,0.577,0.77,0.475,-10.2,77,0,45,6.52,261554.0,Sony,1
Electronica,Apple Music,Frances,Miercoles,2023,203,136,0.621,0.22,0.446,0.358,<null>,0,0,2,7.0,76296.0,Universal,0
Electronica,Spotify,Espanol,Domingo,2017,196,87,0.689,0.898,0.475,0.119,-7.6,42,1,28,4.26,266003.0,Independiente,1
Pop,Spotify,Espanol,Miercoles,2015,157,113,0.874,0.524,0.912,0.235,-6.4,12,1,45,3.25,260664.0,Sony,1
R&B,Apple Music,Ingles,Jueves,2015,252,149,0.696,0.529,0.337,0.146,-12.2,43,0,10,0.66,208986.0,Sony,0
Hip-Hop,YouTube Music,Espanol,Sabado,2016,140,125,0.758,0.851,0.481,0.095,-12.4,72,0,35,29.44,117136.0,Warner,3
Pop,YouTube Music,Espanol,Lunes,2019,204,79,0.261,0.821,0.575,0.226,-6.9,67,0,14,0.7,412486.0,Sony,0
Pop,Spotify,Ingles,Martes,2023,124,94,0.467,0.846,0.223,0.067,-4.8,50,0,47,0.79,152233.0,Warner,1
Reggaeton,YouTube Music,Espanol,Sabado,2020,186,101,0.639,0.589,0.495,0.058,-4.4,25,0,39,1.18,147375.0,Sony,0
Reggaeton,Spotify,Ingles,Sabado,2020,117,95,0.701,0.615,0.506,0.062,-13.1,77,0,21,0.03,447864.0,Sony,1
Jazz,Deezer,Espanol,Viernes,2012,177,90,0.73,0.584,0.799,0.134,-4.5,15,1,16,2.04,466624.0,Warner,0
R&B,Deezer,Espanol,Martes,2015,245,97,0.104,0.762,0.674,0.067,-8.6,35,1,40,6.33,119824.0,Sony,0
Pop,Apple Music,Ingles,Sabado,2022,151,130,0.405,0.377,0.794,0.155,-6.1,53,0,20,0.49,425631.0,Independiente,0
Metal,YouTube Music,Espanol,Viernes,2024,185,135,0.727,0.65,0.767,0.232,-6.2,23,2,50,3.81,106635.0,Warner,1
Pop,YouTube Music,Coreano,Viernes,2018,245,84,0.58,0.212,0.609,0.017,-11.1,57,0,11,34.48,1851.0,Universal,3
R&B,YouTube Music,Espanol,Domingo,2019,296,160,0.525,0.36,0.764,0.078,-11.1,26,0,27,17.08,6285.0,Independiente,0
Clasica,YouTube Music,Ingles,Jueves,2024,219,136,0.594,0.411,0.581,0.024,-7.3,13,0,31,7.65,153360.0,Universal,0
Reggaeton,Deezer,Portugues,Viernes,2014,190,153,0.798,0.406,0.468,0.263,-8.8,51,3,0,0.16,478932.0,Universal,0
Jazz,Apple Music,Espanol,Miercoles,2024,197,95,0.722,0.719,0.476,0.012,1.1,27,0,10,1.65,208241.0,Independiente,0
Rock,YouTube Music,Ingles,Miercoles,2022,181,93,0.692,0.394,0.853,0.156,-5.8,20,1,39,8.44,243463.0,Universal,2
Reggaeton,YouTube Music,Portugues,Sabado,2011,200,135,0.672,0.524,0.337,0.093,-6.6,28,0,19,4.71,369571.0,,0
Clasica,YouTube Music,Espanol,Jueves,2022,328,127,0.689,0.616,0.529,0.305,-2.9,79,0,17,1.47,179013.0,Sony,0
Hip-Hop,YouTube Music,Coreano,Martes,2023,248,125,0.477,0.455,0.496,0.097,-6.4,69,1,39,3.02,17909.0,Sony,1
Hip-Hop,Spotify,Espanol,Martes,2023,233,111,0.522,0.422,0.891,0.151,-5.5,34,0,8,2.09,477160.0,Warner,0
Reggaeton,Spotify,Espanol,Sabado,2019,224,113,0.516,0.83,0.483,0.092,-7.9,96,0,43,5.49,,Universal,3
Clasica,Spotify,Portugues,Sabado,2021,214,135,0.398,0.52,0.865,0.208,-12.9,29,0,13,2.47,152180.0,Universal,0
Rock,Apple Music,Espanol,Martes,2022,215,105,0.355,0.233,0.811,0.118,<null>,12,0,44,1.53,314808.0,Universal,0
Pop,Apple Music,Ingles,Martes,2017,275,87,0.306,0.388,0.781,0.104,-4.6,89,0,25,27.95,257953.0,Sony,3
Jazz,Deezer,Frances,Miercoles,2024,215,124,0.614,0.031,0.338,0.042,-0.9,38,1,8,5.52,385845.0,Warner,0
Clasica,YouTube Music,Coreano,Miercoles,2011,201,145,0.833,0.732,0.559,0.306,-13.3,58,1,24,5.16,36303.0,Warner,1
Pop,YouTube Music,Ingles,Jueves,2013,168,88,0.843,0.564,0.655,0.009,-12.7,31,1,27,11.21,6723.0,Sony,2
Rock,Spotify,Coreano,Jueves,2012,215,117,0.173,0.501,0.408,0.016,-7.3,95,0,28,0.29,409561.0,Sony,0
Pop,YouTube Music,Ingles,Jueves,2022,185,74,0.514,0.583,0.834,0.161,-3.9,67,0,31,1.25,57564.0,Universal,1
Rock,YouTube Music,Espanol,Martes,2024,203,141,0.256,0.719,0.496,0.093,-5.7,45,0,19,2.89,119966.0,,0
Hip-Hop,YouTube Music,Ingles,Martes,2014,171,100,0.496,0.787,0.878,0.065,-5.3,60,1,7,1.57,274237.0,Universal,1
Metal,Spotify,Ingles,Miercoles,2014,212,118,0.699,0.758,0.662,0.114,-3.6,19,1,11,1.24,109135.0,Independiente,0
Electronica,Apple Music,Ingles,Miercoles,2018,183,119,0.495,0.54,0.72,0.006,-2.9,90,0,33,2.81,,Universal,0
Electronica,YouTube Music,Ingles,Lunes,2013,159,119,0.602,0.446,0.588,0.049,-7.0,85,1,6,12.84,303827.0,Independiente,2
Hip-Hop,Apple Music,Ingles,Lunes,2018,260,128,0.519,0.749,0.595,0.069,-6.0,33,1,48,7.92,354147.0,Independiente,2
R&B,Tidal,Ingles,Sabado,2022,151,149,0.69,0.541,0.371,0.373,<null>,2,0,4,17.92,,Sony,0
Reggaeton,Tidal,Coreano,Martes,2020,178,111,0.572,0.47,0.794,0.056,-7.2,81,0,41,0.99,314971.0,Sony,2
Cumbia,Deezer,Ingles,Sabado,2020,225,113,0.69,0.685,0.264,0.049,1.7,3,0,9,9.0,19662.0,Sony,0
Electronica,YouTube Music,Espanol,Miercoles,2011,250,95,0.648,0.115,0.437,0.029,-6.7,62,2,22,5.76,40182.0,Universal,1
Pop,Deezer,Portugues,Martes,2019,208,82,0.762,0.786,0.844,0.039,-4.8,2,0,2,5.4,251727.0,Sony,0
Electronica,YouTube Music,Espanol,Sabado,2024,205,106,0.467,0.549,0.702,0.08,-11.6,89,1,11,2.38,454498.0,Independiente,1
Rock,Spotify,Portugues,Sabado,2023,157,126,0.896,0.65,0.581,0.2,-7.4,66,1,39,36.27,196462.0,Independiente,3
Jazz,Apple Music,Espanol,Viernes,2019,182,113,0.633,0.661,0.658,0.015,-10.9,35,0,38,3.36,464519.0,Warner,0
Pop,Spotify,Espanol,Lunes,2014,142,144,0.608,0.192,0.88,0.011,-16.6,78,3,41,7.26,255917.0,Universal,2
